date;pv;market;feedin;load
2024-03-05 23:00:00;0;71,0;0;32,99
2024-03-06 00:00:00;0;50,5;0;31,85
2024-03-06 01:00:00;0;50,51;0;30,99
2024-03-06 02:00:00;0;50,01;0;30,36
2024-03-06 03:00:00;0;41,64;0;30,84
2024-03-06 04:00:00;0;50,01;0;31,67
2024-03-06 05:00:00;0;50,68;0;34,99
2024-03-06 06:00:00;0;106,64;0;42,47
2024-03-06 07:00:00;0;108,7;0;55,19
2024-03-06 08:00:00;0;25,0;0;81,48
2024-03-06 09:00:00;0;14,24;0;117,88
2024-03-06 10:00:00;0;5,96;0;139,2
2024-03-06 11:00:00;0;4,07;0;118,37
2024-03-06 12:00:00;0;3,9;0;81,51
2024-03-06 13:00:00;0;3,87;0;61,12
2024-03-06 14:00:00;0;3,9;0;66,91
2024-03-06 15:00:00;0;5,87;0;81,23
2024-03-06 16:00:00;0;18,75;0;80,79
2024-03-06 17:00:00;0;29,6;0;77,37
2024-03-06 18:00:00;0;50,48;0;71,89
2024-03-06 19:00:00;0;93,74;0;61,31
2024-03-06 20:00:00;0;49,31;0;45,76
2024-03-06 21:00:00;0;29,07;0;38,13
2024-03-06 22:00:00;0;21,66;0;35,3
