2023-03-10 13:40:38 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-10 13:40:39 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.202s)
2023-03-10 13:40:39 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-10 13:40:39 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-10 13:40:39 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-10 13:40:39 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-10 13:40:39 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-10 13:40:39 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.003s)
2023-03-10 13:40:39 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-10 13:40:39 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-10 13:40:39 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-10 13:40:39 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.885s)
2023-03-10 13:40:39 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-10 13:40:39 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.007s)
2023-03-10 13:40:39 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-10 13:40:39 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.926s) * 
2023-03-10 13:41:14 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-10 13:41:14 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.133s)
2023-03-10 13:41:14 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-10 13:41:14 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-10 13:41:14 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-10 13:41:14 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-10 13:41:14 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-10 13:41:14 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.001s)
2023-03-10 13:41:14 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-10 13:41:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-10 13:41:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-10 13:41:14 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.087s)
2023-03-10 13:41:14 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-10 13:41:14 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.005s)
2023-03-10 13:41:14 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-10 13:41:14 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.106s) * 
2023-03-13 12:23:13 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-13 12:23:13 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (0.165s)
2023-03-13 12:23:13 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-13 12:23:13 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-13 12:23:13 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-13 12:23:13 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-13 12:23:13 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-13 12:23:13 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.001s)
2023-03-13 12:23:13 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-13 12:23:13 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-13 12:23:13 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-13 12:23:13 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.347s)
2023-03-13 12:23:13 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-13 12:23:13 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.005s)
2023-03-13 12:23:13 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-13 12:23:13 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.372s) * 
2023-03-13 20:02:25 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-13 20:05:26 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-13 21:38:57 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-14 11:01:16 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-14 11:06:32 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (316.175s)
2023-03-14 11:07:00 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-14 11:07:00 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-14 11:07:00 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-14 11:07:00 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-14 11:07:00 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-14 11:07:00 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.001s)
2023-03-14 11:07:00 | INFO    | __main__                     | optimize             |   76 | Solving MILP ...
2023-03-14 11:07:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  107 |  - defining MILP
2023-03-14 11:07:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  110 |  - actually solving MILP
2023-03-14 11:07:01 | INFO    | __main__                     | optimize             |   78 | Solving MILP ... OK! (0.535s)
2023-03-14 11:07:01 | INFO    | __main__                     | optimize             |   81 | Generating outputs ...
2023-03-14 11:07:01 | INFO    | __main__                     | optimize             |   83 | Generating outputs ... OK! (0.008s)
2023-03-14 11:07:01 | WARNING | __main__                     | <module>             |  196 | Optimal
2023-03-14 11:07:01 | INFO    | __main__                     | <module>             |  224 |  * Day 1 of 1 ... OK! (-0.578s) * 
2023-03-14 11:12:38 | INFO    | __main__                     | read_data            |   28 | Reading and parsing forecasts ... 
2023-03-14 11:14:01 | INFO    | __main__                     | read_data            |   54 | Reading and parsing forecasts ... OK! (376.883s)
2023-03-14 11:14:01 | INFO    | __main__                     | <module>             |  115 |  * Day 1 of 1 ... * 
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   70 | Configuring data for MILP...
2023-03-14 11:14:11 | DEBUG   | module.tasks.BESS            | configure            |   52 | Configuring BESS asset ...
2023-03-14 11:14:11 | DEBUG   | module.tasks.BESS            | configure            |   57 |  - parsing AC-side parameters
2023-03-14 11:14:11 | DEBUG   | module.tasks.BESS            | configure            |   65 |  - parsing DC-side parameters
2023-03-14 11:14:11 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP ... OK! (0.002s)
