2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.024s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.040s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  124 |  - defining MILP
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  127 |  - actually solving MILP
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.111s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.008s)
2023-05-25 12:43:14 | WARNING | __main__                     | <module>             |  257 | Optimal
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  295 |  * Day 189 of 365 ... OK! (-0.186s) * 
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  129 |  * Day 190 of 365 ... * 
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.014s)
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.014s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.029s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  124 |  - defining MILP
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  127 |  - actually solving MILP
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.091s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.017s)
2023-05-25 12:43:14 | WARNING | __main__                     | <module>             |  257 | Optimal
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  295 |  * Day 190 of 365 ... OK! (-0.169s) * 
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  129 |  * Day 191 of 365 ... * 
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.018s)
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.029s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.048s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  124 |  - defining MILP
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  127 |  - actually solving MILP
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.110s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.012s)
2023-05-25 12:43:14 | WARNING | __main__                     | <module>             |  257 | Optimal
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  295 |  * Day 191 of 365 ... OK! (-0.197s) * 
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  129 |  * Day 192 of 365 ... * 
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.015s)
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.014s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.029s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  124 |  - defining MILP
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  127 |  - actually solving MILP
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.092s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.008s)
2023-05-25 12:43:14 | WARNING | __main__                     | <module>             |  257 | Optimal
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  295 |  * Day 192 of 365 ... OK! (-0.155s) * 
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  129 |  * Day 193 of 365 ... * 
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.014s)
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.017s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.031s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  124 |  - defining MILP
2023-05-25 12:43:14 | DEBUG   | module.core.Optimizer        | solve_milp           |  127 |  - actually solving MILP
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.103s)
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.011s)
2023-05-25 12:43:14 | WARNING | __main__                     | <module>             |  257 | Optimal
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  295 |  * Day 193 of 365 ... OK! (-0.171s) * 
2023-05-25 12:43:14 | INFO    | __main__                     | <module>             |  129 |  * Day 194 of 365 ... * 
2023-05-25 12:43:14 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.014s)
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:14 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.014s)
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.029s)
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-05-25 12:43:15 | DEBUG   | module.core.Optimizer        | solve_milp           |  124 |  - defining MILP
2023-05-25 12:43:15 | DEBUG   | module.core.Optimizer        | solve_milp           |  127 |  - actually solving MILP
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.100s)
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.009s)
2023-05-25 12:43:15 | WARNING | __main__                     | <module>             |  257 | Optimal
2023-05-25 12:43:15 | INFO    | __main__                     | <module>             |  295 |  * Day 194 of 365 ... OK! (-0.162s) * 
2023-05-25 12:43:15 | INFO    | __main__                     | <module>             |  129 |  * Day 195 of 365 ... * 
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.015s)
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.015s)
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.031s)
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-05-25 12:43:15 | DEBUG   | module.core.Optimizer        | solve_milp           |  124 |  - defining MILP
2023-05-25 12:43:15 | DEBUG   | module.core.Optimizer        | solve_milp           |  127 |  - actually solving MILP
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.126s)
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.008s)
2023-05-25 12:43:15 | WARNING | __main__                     | <module>             |  257 | Optimal
2023-05-25 12:43:15 | INFO    | __main__                     | <module>             |  295 |  * Day 195 of 365 ... OK! (-0.191s) * 
2023-05-25 12:43:15 | INFO    | __main__                     | <module>             |  129 |  * Day 196 of 365 ... * 
2023-05-25 12:43:15 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-05-25 12:43:15 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
