2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.028s)
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:44 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.017s)
2023-06-29 15:48:44 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.044s)
2023-06-29 15:48:44 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-06-29 15:48:44 | DEBUG   | module.core.Optimizer        | solve_milp           |  134 |  - defining MILP
2023-06-29 15:48:44 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:48:44 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.105s)
2023-06-29 15:48:44 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:48:45 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.018s)
2023-06-29 15:48:45 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:48:45 | INFO    | __main__                     | <module>             |  313 |  * Day 1 of 90 ... OK! (-0.358s) * 
2023-06-29 15:48:45 | INFO    | __main__                     | <module>             |  140 |  * Day 2 of 90 ... * 
2023-06-29 15:48:45 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.046s)
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:45 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.031s)
